status,challenge,victim,attacker,flag,ts
correct,zblog,10.0.72.3:80,wangyihang,18497341e2e8092c264ac197d75bb637,1537064335.36
correct,zblog,10.0.73.3:80,wangyihang,f4003aa4c07e949ed806893414c5a936,1537064335.38
correct,zblog,10.0.75.3:80,wangyihang,bca3ce52b7d3dbc31c8e4e3d249b9772,1537064335.4
duplicated,zblog,10.0.74.3:80,wangyihang,8d093482c71310185178e1915a7e6c37,1537064335.41
correct,zblog,10.0.76.3:80,wangyihang,d72f1ed89f9a71703b53aedb42e8b1c8,1537064335.43
correct,zblog,10.0.77.3:80,wangyihang,6d43948c95308a47c1907a2272bb0c3c,1537064335.45
correct,zblog,10.0.79.3:80,wangyihang,cf9fdb0af76f2bd063068cad78fa4a78,1537064335.48
correct,zblog,10.0.78.3:80,wangyihang,74f4d164bf65abaa63e3eba5177abdb0,1537064335.5
correct,zblog,10.0.82.3:80,wangyihang,b9e9a69126d27f41872bef8cb37f450a,1537064335.56
correct,zblog,10.0.84.3:80,wangyihang,d58d38446bd6ea32d7c57cebbd4de233,1537064335.57
correct,zblog,10.0.85.3:80,wangyihang,d40d9cb0f1cb18c42edb6327eb9d0f04,1537064335.58
correct,zblog,10.0.87.3:80,wangyihang,4d9cac4de9c960ba49d628a4f860b687,1537064335.63
correct,zblog,10.0.86.3:80,wangyihang,da76d70e8e962dfa1a1179ad8943956b,1537064335.64
correct,zblog,10.0.88.3:80,wangyihang,24bc782d4bfc99092e19b7baa4599dbc,1537064335.67
correct,zblog,10.0.91.3:80,wangyihang,07c12c720dc0a5faaafb772e46bd91fc,1537064335.74
correct,zblog,10.0.92.3:80,wangyihang,ad2de58742dbfedd3d4bd5dcb59a4c65,1537064335.76
correct,zblog,10.0.65.3:80,wangyihang,d47bae743239e1b2068e59945139672d,1537064635.7
correct,zblog,10.0.64.3:80,wangyihang,3a4ea86b7acef7aebdcec99ed93e5918,1537064635.72
correct,zblog,10.0.66.3:80,wangyihang,b03f93b7fc06d6a6db226924f5feee17,1537064635.75
correct,zblog,10.0.68.3:80,wangyihang,bdd1a43dab110e89413040882da9902a,1537064635.76
correct,zblog,10.0.72.3:80,wangyihang,ad084c8c3a30aac7419981d02fa4075d,1537064635.87
correct,zblog,10.0.71.3:80,wangyihang,2db4553707c6426da78b041f5de4c192,1537064635.91
correct,zblog,10.0.73.3:80,wangyihang,37f951acef131afd74a86f50f5b33aab,1537064635.94
correct,zblog,10.0.74.3:80,wangyihang,d4e0d7b09c23b6e31ab84b6cd93044de,1537064635.98
correct,zblog,10.0.76.3:80,wangyihang,41f67c342a9a4e84237cee7872fe973c,1537064635.99
correct,zblog,10.0.75.3:80,wangyihang,674e37006d22309642674b870943fe25,1537064636.0
correct,zblog,10.0.78.3:80,wangyihang,9f67b5f887507747c9efacef809b3ec0,1537064636.07
correct,zblog,10.0.82.3:80,wangyihang,e3c49d859a33abfffc326f615895eaee,1537064636.22
correct,zblog,10.0.86.3:80,wangyihang,38e9a0c4b8dad9cac0571a9c281535c5,1537064636.4
correct,zblog,10.0.88.3:80,wangyihang,f88108aa5cc26208b2074ccacf9f2072,1537064636.44
correct,zblog,10.0.87.3:80,wangyihang,033c1596fd61723bba65d697e0cfcec7,1537064636.46
